test_size,MAX_DEPTH,MIN_SAMPLES_SPLIT,MIN_SAMPLES_LEAF,MAX_FEATURES,MSE,RMSE,MAE
0.3,5,5,5,4,68.90214179193985,8.300731401023638,6.28169703878966
0.3,10,5,5,4,22.847883672881903,4.779945990582101,3.2205521891446027
0.3,10,5,5,4,17.21944498632097,4.149631909738618,2.828301541424066
0.3,10,5,5,4,29.164785568388954,5.400443090005574,3.3824888047861554
0.3,10,5,5,4,20.560735509729977,4.534394723635115,2.952371541717156
0.3,10,5,5,4,18.736460120850754,4.328563285993489,2.9961926165328183
0.3,10,3,5,4,18.592625785596876,4.311916718304851,2.9462197273020587
0.3,10,3,5,4,18.9426779378559,4.3523186852361695,2.9303872450665533
0.3,10,3,5,4,24.110817960314446,4.910276770235507,3.0758602448910413
0.3,10,3,5,4,21.87798779629803,4.677391131421236,3.1484102064638155
0.3,10,3,5,4,23.70157038898181,4.868425863560193,3.1847632994202972
0.3,10,3,5,4,22.281809133121126,4.720361123168558,2.968466377201466
0.3,10,5,5,4,22.31210829961182,4.723569444774981,3.0379894739031
0.3,10,5,5,4,18.817305152621568,4.337891786642627,3.0479559973104484
0.3,10,5,5,4,19.109047787611143,4.371389686085095,3.0016116592649165
0.3,10,5,5,4,16.540699994877283,4.067025939784166,2.781355648851772
0.3,10,5,5,4,18.752046655796004,4.330363339928418,2.884294695330107
0.3,10,5,5,4,20.11084237527036,4.484511386457878,2.969434542143576
0.3,10,5,5,4,18.68474981342343,4.322586009950922,2.8648889816778262
0.3,10,10,5,4,15.778608676585552,3.9722296857792037,2.611197521507905
0.3,10,10,5,4,22.238079712877962,4.715726848840798,3.103116312394979
0.3,10,10,5,4,23.47127258778954,4.844715945005397,3.203792792028142
0.3,10,10,5,4,20.751927083695353,4.5554283095769765,2.902893678397099
0.3,10,10,5,4,18.03456612157934,4.246712389788051,2.848379822050912
0.3,10,10,5,4,24.063359332953816,4.905441808130417,3.3246487993053497
0.3,10,10,5,4,20.669765161093093,4.546401341840939,3.0131094830353584
0.3,10,7,5,4,20.36829154025749,4.513124365698057,3.003911149859434
0.3,10,7,5,4,17.310585934247584,4.160599227785294,2.7536754899058047
0.3,10,7,5,4,22.626688020188837,4.756751835043409,3.102254820936881
0.3,10,7,5,4,21.27857260843275,4.612870322091523,2.963253687542965
0.3,10,7,5,4,20.596272656572715,4.538311652649332,3.0762603272976583
0.3,10,7,5,4,19.880224282473066,4.4587245129603,3.0391904076212293
0.3,10,7,5,4,18.451505666087243,4.295521582542363,2.819362597006382
0.3,10,5,5,4,21.963000422331646,4.686469931871072,3.0263489231104357
0.3,10,5,5,4,24.289031232703415,4.92839032876896,3.2185629735032952
0.3,10,5,5,4,17.349330239513566,4.165252722166275,2.790988230123537
0.3,10,5,5,4,22.741372193457956,4.76879148144034,3.0986925448325495
0.3,10,5,5,4,24.73060537401214,4.972987570265196,3.408398999058117
0.3,10,5,5,4,20.013537527124473,4.473649240510981,2.96984214287731
0.3,10,5,10,4,32.172441069568855,5.6720755521739,3.7765702554902942
0.3,10,5,10,4,34.61729462955282,5.883646371898368,3.8026331172481904
0.3,10,5,10,4,32.685216514562235,5.717098609833683,3.828893274441641
0.3,10,5,10,4,33.357104667972706,5.77556098296717,3.989867421862817
0.3,10,5,10,4,23.048555194015684,4.800891083331893,3.4208541921043594
0.3,10,5,5,4,17.747985482559617,4.212835800569447,2.950429893744645
0.3,10,5,5,4,23.745606000675608,4.872946336732594,3.221379469361552
